City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
183,Yulara,-25.24,130.99,41.0,23,0,5.82,Clear,2020-08-02 19:00:58
184,Supe,-10.8,-77.73,66.15,68,17,9.93,Clouds,2020-08-02 19:09:32
185,Avarua,-21.21,-159.78,66.2,88,0,1.12,Clear,2020-08-02 19:02:43
186,Oksfjord,70.24,22.35,59.0,76,2,4.7,Clear,2020-08-02 19:02:01
187,Tchaourou,8.89,2.6,74.66,85,100,3.8,Clouds,2020-08-02 19:09:32
188,Te Anau,-45.42,167.72,47.97,91,100,0.54,Rain,2020-08-02 19:09:32
189,Dubrovnik,42.65,18.09,80.6,51,0,5.82,Clear,2020-08-02 19:09:32
190,Smithers,54.78,-127.17,64.4,63,75,4.7,Clouds,2020-08-02 19:00:34
191,Almaznyy,48.04,40.05,68.0,68,20,4.47,Clouds,2020-08-02 19:04:08
192,Elancourt,48.78,1.96,71.01,43,10,11.41,Clear,2020-08-02 19:09:32
193,Puerto Escondido,15.85,-97.07,87.8,62,75,6.93,Clouds,2020-08-02 19:03:55
194,Dongning,44.06,131.12,68.02,91,100,4.12,Rain,2020-08-02 19:09:33
195,Bethel,41.37,-73.41,80.6,83,90,10.29,Clouds,2020-08-02 19:07:38
196,Faanui,-16.48,-151.75,78.46,80,91,13.15,Clouds,2020-08-02 19:08:02
197,Talnakh,69.49,88.4,59.0,67,97,4.47,Clouds,2020-08-02 19:08:03
198,Abeokuta,7.15,3.35,74.98,83,24,7.25,Clouds,2020-08-02 19:09:33
199,Mount Isa,-20.73,139.5,48.2,61,0,10.0,Clear,2020-08-02 19:00:13
200,Teya,60.38,92.63,54.75,71,0,0.54,Clear,2020-08-02 19:02:50
201,Pangnirtung,66.15,-65.71,50.0,93,75,10.29,Clouds,2020-08-02 19:08:13
202,Constantine,36.37,6.61,93.2,21,20,8.05,Clouds,2020-08-02 19:09:33
203,Billings,45.78,-108.5,90.0,33,20,9.17,Clouds,2020-08-02 19:08:02
204,Nantucket,41.28,-70.1,77.0,73,1,16.11,Clear,2020-08-02 19:05:09
